;;;;;;;1º CICLO;;;;;;;;;;;;;;;;;;
EIXO;OBJETIVO;META;COD DA ACAO;AÇÃO;ENVOLVIDOS;PRAZO FINAL;Status da ação ;Detalhamento do que foi realizado - se possivel fazer uma descrição incluindo dados numéricos;Dificuldades encontradas/ Sugestões;;;;;;;;;;;;;;;;
Agua;Objetivo 3 – Dar a destinação adequada para o esgoto da UFSC;Meta 5 – Encaminhar 100% do esgoto para a destinação adequada da UFSC; 36 ;Ação 36 - Realizar mapeamento do sistema de esgotamento sanitário da UFSC em Florianópolis;CGA;2029;Em andamento;DGA: Mapeamento do campus Trindade e Barra da Lagoa disponíveis. ;Consolidar mapeamentos existentes em base única. Realizar mapeamentos complementares.;;;;;;;;;;;;;;;;
Agua;Objetivo 3 – Dar a destinação adequada para o esgoto da UFSC;Meta 5 – Encaminhar 100% do esgoto para a destinação adequada da UFSC; 37 ;Ação 37 - Adequação de rede de coleta no Setor 10 - Moradia do Campus FLN.TRI;PU;2027;Em andamento;https://dfo.ufsc.br/reforma-da-moradia-estudantil-casa-do-estudante-universitario-ceu/;;;;;;;;;;;;;;;;;
Agua;Objetivo 3 – Dar a destinação adequada para o esgoto da UFSC;Meta 5 – Encaminhar 100% do esgoto para a destinação adequada da UFSC; 38 ;Ação 38 - Correção de ligações pontuais irregulares identificadas no PRAD;PU;2027;Não iniciado;;;;;;;;;;;;;;;;;;
Agua;Objetivo 4 – Dar publicidade sobre o manejo de águas pluviais da UFSC;Meta 6 – Apresentar estudos para 100% da área do campus FLN.TRI; 39 ;Ação 39 -  Realizar mapeamento cadastral da rede de drenagem do Campus FLN.TRI;DPAE;2027;Concluído;O relatório foi concluído no final de 2025, em parceria com o GTSIG.;Houve dificuldades operacionais decorrentes da ausência de projetos atualizados, sendo necessário inferir alguns trechos da infraestrutura com base nas informações disponíveis.;;;;;;;;;;;;;;;;
Agua;Objetivo 4 – Dar publicidade sobre o manejo de águas pluviais da UFSC;Meta 6 – Apresentar estudos para 100% da área do campus FLN.TRI; 40 ;Ação 40 - Elaborar diagnóstico das áreas críticas de alagamentos do Campus FLN.TRI;DPAE;2026;Em andamento;O DPAE está realizando o mapeamento das áreas de alagamento no Campus da UFSC, identificando os locais mais suscetíveis durante eventos de chuva de grande intensidade.;A ausência de equipamentos adequados dificulta a realização do levantamento das informações.;;;;;;;;;;;;;;;;
Agua;Objetivo 5 – Conservar os cursos de água na UFSC;Meta 7 – Apresentar estudos para 100% dos campi; 41 ;Ação 41 -  Realizar mapeamento dos cursos de água para todas as unidades da UFSC;CGA;2029;Em andamento;DGA: Mapeamentos do campus Trindade, Fazenda da Ressacada e Curitibanos já foram realizados. ;"Consolidar mapeamentos existentes em base única.
Realizar mapeamentos complementares.";;;;;;;;;;;;;;;;
Agua;Objetivo 5 – Conservar os cursos de água na UFSC;Meta 7 – Apresentar estudos para 100% dos campi; 42 ;Ação 42 - Elaborar plano de monitoramento fluviométrico e de qualidade de água para o campus FLN.TRI;CGA;2027;Em andamento;DGA: Ações de monitoramento de qualidade de água estão sendo realizadas no âmbito do PRAD, com horizonte de três anos. Plano de monitoramento fluviométrico ou de qualidade de médio e longo prazo não foram realizados.;;;;;;;;;;;;;;;;;
Materias;Objetivo 6 - Extinguir o uso copos plásticos descartáveis na UFSC;Meta 8 - Zerar a aquisição de copos plásticos descartáveis; 43 ;Ação 43 - Realizar anualmente ações educativas para incentivar a utilização de recipientes reutilizáveis/copos compostáveis. Estudar a vibilidade de eliminar nas formaturas, concursos, cursos, vestibulares e eventos o uso de copos plásticos com água;CGA;2029;Não iniciado;;;;;;;;;;;;;;;;;;
Materias;Objetivo 6 - Extinguir o uso copos plásticos descartáveis na UFSC;Meta 8 - Zerar a aquisição de copos plásticos descartáveis; 44 ;Ação 44 - Disponibilizar bienalmente ata para copos reutilizáveis para sala de reuniões;DCOM;2026;Não iniciado;;;;;;;;;;;;;;;;;;
Materias;Objetivo 6 - Extinguir o uso copos plásticos descartáveis na UFSC;Meta 8 - Zerar a aquisição de copos plásticos descartáveis; 45 ;Ação 45 - Disponibilizar na lista de materiais do almoxarifado copos descartável compostáveis para os locais que recebem;DGP;2029;Não iniciado;;;;;;;;;;;;;;;;;;
Materias;Objetivo 6 - Extinguir o uso copos plásticos descartáveis na UFSC;Meta 8 - Zerar a aquisição de copos plásticos descartáveis; 46 ;Ação 46 - Reavaliar as cotas de copos descartáveis compostáveis por setor.;DGP;2029;Não iniciado;;;;;;;;;;;;;;;;;;
Materias;Objetivo 6 - Extinguir o uso copos plásticos descartáveis na UFSC;Meta 8 - Zerar a aquisição de copos plásticos descartáveis; 47 ;Ação 47 - Incluir no formulário de reserva dos auditórios a recomendação de priorizar o uso de recipientes reutilizáveis ou compostáveis nos coffee breaks, ou solicitar que os participantes tragam seus próprios recipientes.;SECARTE;2028;Não iniciado;;;;;;;;;;;;;;;;;;
Materias;Objetivo 6 - Extinguir o uso copos plásticos descartáveis na UFSC;Meta 8 - Zerar a aquisição de copos plásticos descartáveis; 48 ;Ação 48 - Criar e-mail padrão para  sensibilização na abertura dos cursos de capacitação  destacando a importância do uso de recipientes reutilizáveis e informando que copos plásticos não serão fornecidos.;CCP;2029;Concluído;"A CCP não disponibiliza copos plásticos nos cursos presenciais.
";"Não foram identificadas dificuldades. 
Sem sugestões.";;;;;;;;;;;;;;;;
Materias;Objetivo 6 - Extinguir o uso copos plásticos descartáveis na UFSC;Meta 8 - Zerar a aquisição de copos plásticos descartáveis; 49 ;Ação 49 - Estudar a vibilidade de eliminar nas formaturas, concursos, cursos, vestibulares e eventos o uso de copos plásticos com água;CGA;2026;Não iniciado;;Não houve tempo para pensar na ação;;;;;;;;;;;;;;;;
Materias;Objetivo 6 - Extinguir o uso copos plásticos descartáveis na UFSC;Meta 8 - Zerar a aquisição de copos plásticos descartáveis; 50 ;Ação 50 - Não realizar licitação de aquisição de copos plásticos descartáveis;DCOM;2026;Não iniciado;;;;;;;;;;;;;;;;;;
Materias;Objetivo 6 - Extinguir o uso copos plásticos descartáveis na UFSC;Meta 8 - Zerar a aquisição de copos plásticos descartáveis; 51 ;Ação 51 - Proibir a utilização de copos plásticos descartáveis na UFSC, exceto nos casos em que sua utilização seja indispensável, mediante justificativa.;GR;2027;Não iniciado;;;;;;;;;;;;;;;;;;
Materias;Objetivo 6 - Extinguir o uso copos plásticos descartáveis na UFSC;Meta 8 - Zerar a aquisição de copos plásticos descartáveis; 52 ;Ação 52 - Disponibilizar, sempre que viável, pelo menos uma pia em cada edificação aberta ao público, destinada à limpeza dos copos reutilizáveis.;PU;2029;Não iniciado;;;;;;;;;;;;;;;;;;
Materias;Objetivo 6 - Extinguir o uso copos plásticos descartáveis na UFSC;Meta 8 - Zerar a aquisição de copos plásticos descartáveis; 53 ;Ação 53 - Estabelecer a obrigatoriedade de oferecer recipientes reutilizáveis nas lanchonetes ou, alternativamente, permitir que o usuário utilize seu próprio recipiente nas novas concessões. ;CGA;2028;Em andamento;Criado projeto juntamento com o Proessor André ;;;;;;;;;;;;;;;;;
Materias;Objetivo 6 - Extinguir o uso copos plásticos descartáveis na UFSC;Meta 8 - Zerar a aquisição de copos plásticos descartáveis; 54 ;Ação 54 - Mapear a distribuição de bebedouros e pontos de água potável nos campi.;DPAE;2029;Não iniciado;;Há insuficiência de pessoal para realizar o levantamento. Uma das formas de realizar o mapeamento seria por meio do cadastro patrimonial dos bebedouros. No entanto, verificou-se que a quantidade de bebedouros cadastrados é significativamente superior à quantidade efetivamente instalada.;;;;;;;;;;;;;;;;
Materias;Objetivo 6 - Extinguir o uso copos plásticos descartáveis na UFSC;Meta 8 - Zerar a aquisição de copos plásticos descartáveis; 55 ;Ação 55 - Disponibilizar ata de registro de preços para aquisição de bebedouros, com modelo padrão;DCOM;2026;Não iniciado;;;;;;;;;;;;;;;;;;
Materias;Objetivo 6 - Extinguir o uso copos plásticos descartáveis na UFSC;Meta 8 - Zerar a aquisição de copos plásticos descartáveis; 56 ;Ação 56 - Disponibilizar contrato de manutenção de bebedouros, incluindo o fornecimento de materiais necessários.;DPC;2029;Não iniciado;;;;;;;;;;;;;;;;;;
Materias;Objetivo 6 - Extinguir o uso copos plásticos descartáveis na UFSC;Meta 8 - Zerar a aquisição de copos plásticos descartáveis; 57 ;Ação 57 - Disponibilizar um banco de copos reutilizáveis para uso em eventos.  ;CGA;2029;Concluído;;Banco disponível na CGA;;;;;;;;;;;;;;;;
Materias;Objetivo 7 - Reduzir o uso de papel na UFSC;Meta 9; 58 ;Ação 58 - Realizar ações educativas, anualmente, para incentivar os professores e alunos a utilizarem plataformas digitais, como Moodle, Google Classroom, para compartilhar planos de ensino, textos e aplicar provas.;CGA;2029;Não iniciado;;;;;;;;;;;;;;;;;;
Materias;Objetivo 7 - Reduzir o uso de papel na UFSC;Meta 9; 59 ;Ação 59 - Oferecer anualmente treinamentos para servidores e alunos sobre o uso eficiente de ferramentas digitais, como Moodle, Google, SPA, entre outras.;CCP;2029;Concluído;"Ações:
1)PLANILHAS ELETRÔNICAS NA PRÁTICA (34 servidores concluintes)
2)MÍDIAS SOCIAIS PARA AGENTES DE COMUNICAÇÃO DA UFSC (14 servidores concluintes).
3)PLATAFORMA SOLAR: SPA E PEDIDOS (69 Concluintes); 
4)PAI - PORTAL DE ATENDIMENTO INSTITUCIONAL (34 concluintes)
5) ESTÁGIOS NA UFSC – LEGISLAÇÃO, SISTEMA E
ORIENTAÇÕES PARA COORDENADORIAS E COMISSÕES DE ESTÁGIOS - SIARE (22 concluintes)";"
O público-alvo da CCP são servidores docentes e técnicos administrativos em educação da UFSC. Não há oferta de ações para estudantes.";;;;;;;;;;;;;;;;
Materias;Objetivo 7 - Reduzir o uso de papel na UFSC;Meta 9; 60 ;Ação 60 - Manter a configuração das impressoras para frente e verso como padrão.;SETIC ;2025;Concluído;Todas as impressoras estão configuradas no modo de impressão frente e verso(duplex) por padrão;;;;;;;;;;;;;;;;;
