;;;;;;;1º CICLO;;;;;;;;;;;;;;;;;;
EIXO;OBJETIVO;META;COD DA ACAO;AÇÃO;ENVOLVIDOS;PRAZO FINAL;Status da ação ;Detalhamento do que foi realizado - se possivel fazer uma descrição incluindo dados numéricos;Dificuldades encontradas/ Sugestões;;;;;;;;;;;;;;;;
Espaços físicos e mobilidade;Objetivo 15 . Alterar a matriz modal de deslocamento da comunidade do campus Trindade, reduzindo a dependência do carro como meio de transporte individual mais utilizado.;Meta 17 - Melhorar as condições de uso do modal bicicleta, por meio de execução integral (100%) da ação planejada.; 105 ;Ação 105 - Adequar e ampliar as vagas de estacionamento de bicicletas em 40 %;DPAE;2029;Em andamento;"Em conjunto com as obras de novas edificações, vêm sendo elaborados projetos para implantação de novos bicicletários, adotando o padrão institucional da UFSC, com suportes do tipo ""U"" invertido. Essa solução está contemplada no CFH, CFM, Centro de Cultura e Eventos e na área ao lado do EFI. Também, foram implantados novos bicicletários junto ao RU do CCA.";;;;;;;;;;;;;;;;;
Espaços físicos e mobilidade;Objetivo 15 . Alterar a matriz modal de deslocamento da comunidade do campus Trindade, reduzindo a dependência do carro como meio de transporte individual mais utilizado.;Meta 18 - Realizar 100% das ações da meta; 106 ;Ação 106 - Implantação de controle de acesso de veículos ao Campus Trindade;GR;2029;Não iniciado;;;;;;;;;;;;;;;;;;
Espaços físicos e mobilidade;Objetivo 15 . Alterar a matriz modal de deslocamento da comunidade do campus Trindade, reduzindo a dependência do carro como meio de transporte individual mais utilizado.;Meta 18 - Realizar 100% das ações da meta; 107 ;Ação 107 - Articulação com municípios dos Campi fora sede para melhoria do Transporte Público ;PU;2029;;;;;;;;;;;;;;;;;;;
Espaços físicos e mobilidade;Objetivo 15 . Alterar a matriz modal de deslocamento da comunidade do campus Trindade, reduzindo a dependência do carro como meio de transporte individual mais utilizado.;Meta 18 - Realizar 100% das ações da meta; 108 ;Ação 108 - Retirada de estacionamentos irregulares em APP (ação do PRAD tbem);PU;2029;Em andamento;;A não oferta de ações de desenvolvimento externas ao  quadro de servidores decorreu, entre outros fatores, das limitações orçamentárias enfrentadas no período.;;;;;;;;;;;;;;;;
Contratações Sustentáveis;Objetivo 16 – Promover de forma ampla sustentabilidade nas contratações;Meta 19 – Realizar 100% das ações da meta; 109 ;Ação 109 - Oferecer treinamentos internos e externos sobre práticas inovadoras em contratações públicas sustentáveis para servidores do DCOM, DPC e CGA.;CCP;2029;Em andamento;Não houve servidores concluintes em treinamentos internos e externos sobre práticas inovadoras em contratações públicas sustentáveis para servidores do DCOM, DPC e CGA;;;;;;;;;;;;;;;;;
Contratações Sustentáveis;Objetivo 16 – Promover de forma ampla sustentabilidade nas contratações;Meta 19 – Realizar 100% das ações da meta; 110 ;Ação 110 - Analisar a incorporação da sustentabilidade no Plano Anual de Contratações (PAC)  da instituição, conforme preconiza a legislação.;PROAD;2026;Não iniciado;;;;;;;;;;;;;;;;;;
Contratações Sustentáveis;Objetivo 17 – Promover a aquisição de materiais mais sustentáveis pela UFSC;Meta 20; 111 ;Ação 111 - Incluir  marcador nas listas do calendário de compras do DCOM para destacar itens com critérios de sustentabilidade.;DCOM;2027;Não iniciado;;;;;;;;;;;;;;;;;;
Contratações Sustentáveis;Objetivo 17 – Promover a aquisição de materiais mais sustentáveis pela UFSC;Meta 20; 112 ;Ação 112 - Revisar as listas de materiais do DCOM, sempre que houver etapa de atualização prevista, garantindo a inclusão de critérios de sustentabilidade e a exclusão de itens com impacto ambiental negativo.;DCOM;2029;Não iniciado;;;;;;;;;;;;;;;;;;
Contratações Sustentáveis;Objetivo 17 – Promover a aquisição de materiais mais sustentáveis pela UFSC;Meta 20; 113 ;Ação 113 - Incluir a logística reversa nos Termos de Referência para materiais aplicáveis e definir um fluxo interno para sua destinação adequada.;DCOM;2027;Não iniciado;;;;;;;;;;;;;;;;;;
Contratações Sustentáveis;Objetivo 17 – Promover a aquisição de materiais mais sustentáveis pela UFSC;Meta 20; 114 ;Ação 114 - Adquirir gêneros alimentícios da agricultura familiar, do empreendedor familiar rural, ou de suas organizações, dando preferência aos alimentos orgânicos ou agroecológicos.;DCOM;2029;Não iniciado;;"Não foram identificadas dificuldades. 
Sem sugestões.";;;;;;;;;;;;;;;;
Contratações Sustentáveis;Objetivo 17 – Promover a aquisição de materiais mais sustentáveis pela UFSC;Meta 20; 115 ;Ação 115 - Incluir a temática da sustentabilidade nas capacitações anuais de compras de materiais.;CCP;2026;Concluído;"Ações:
1) AGENTES DA MUDANÇA: CURSO DE SUSTENTABILIDADE PARA SERVIDORES UFSC (09 servidores concluintes)
2) AGENTES DA MUDANÇA: CURSO DE SUSTENTABILIDADE PARA SERVIDORES UFSC - EAD (20 servidores concluintes)

Tópicos trabalhados nestes cursos:  Consumo Consciente e Contratações Sustentáveis; Consumo consciente de materiais; Sustentabilidade em contratações públicas.";;;;;;;;;;;;;;;;;
Contratações Sustentáveis;Objetivo 17 – Promover a aquisição de materiais mais sustentáveis pela UFSC;Meta 20; 116 ;Açõa 116 - Incluir nos Termos de Referência critérios de sustentabilidade, quando aplicável, para todos os itens do grupo a serem licitados.;DCOM;2029;Não iniciado;;Não tivemos tempo hábil;;;;;;;;;;;;;;;;
Contratações Sustentáveis;Objetivo 17 – Promover a aquisição de materiais mais sustentáveis pela UFSC;Meta 20; 117 ;Ação 117 - Realizar ações educativas anuais para promover a reflexão sobre compras sustentáveis, a inclusão de critérios de sustentabilidade e a escolha de materiais mais responsáveis pelos requisitantes.;CGA;2029;Não iniciado;;;;;;;;;;;;;;;;;;
Contratações Sustentáveis;Objetivo 17 – Promover a aquisição de materiais mais sustentáveis pela UFSC;Meta 20; 118 ;"Ação 118 - Desenvolver metodologia para calcular os custos indiretos ao longo do ciclo de vida dos materiais. 

";DCOM;2029;Não iniciado;;Não tivemos tempo hábil;;;;;;;;;;;;;;;;
Contratações Sustentáveis;Objetivo 17 – Promover a aquisição de materiais mais sustentáveis pela UFSC;Meta 20; 119 ;"Ação 119 - Atualizar o manual ""Contratações Sustentáveis - Módulo Materiais"", tornando-o mais prático e acessível, com adaptação para inteligência artificial e formato Wiki.";CGA;2028;Não iniciado;;;;;;;;;;;;;;;;;;
Contratações Sustentáveis;Objetivo 17 – Promover a aquisição de materiais mais sustentáveis pela UFSC;Meta 20; 120 ;Ação 120 - Elaborar, anualmente, relatório sobre os pregões que incorporaram critérios de sustentabilidade ambiental e os itens das listas de materiais do DCOM analisados sob essa perspectiva.;DCOM;2029;Não iniciado;;;;;;;;;;;;;;;;;;
Contratações Sustentáveis;Objetivo 17 – Promover a aquisição de materiais mais sustentáveis pela UFSC;Meta 20; 121 ;Ação 121 - Realizar estudos para criar  metodologia de contabilização e rastreamento dos critérios específicos de sustentabilidade nos Termos de Referência da UFSC.;DCOM;2029;Não iniciado;;Não tivemos tempo hábil;;;;;;;;;;;;;;;;
Contratações Sustentáveis;Objetivo 18 – Promover a contratação de serviços mais sustentáveis;Meta 21 – Garantir que 100% dos Termos de Referência incluam critérios de sustentabilidade, quando aplicável; 122 ;"Ação 122 - Atualizar o manual ""Contratações Sustentáveis - Módulo Serviço"" conforme a nova legislação, tornando-o mais prático e acessível, com adaptação para inteligência artificial e formato Wiki.";CGA;2026;Não iniciado;;;;;;;;;;;;;;;;;;
Contratações Sustentáveis;Objetivo 18 – Promover a contratação de serviços mais sustentáveis;Meta 21 – Garantir que 100% dos Termos de Referência incluam critérios de sustentabilidade, quando aplicável; 123 ;"Ação 123 - Incluir no Termo de Referência de contratações, no tópico ""Requisitos de Sustentabilidade"", e no ""Manual de Contratações"", orientações  para que o requerente, de forma autônoma, aplique critérios de sustentabilidade no serviço contrato.";DPC;2025;Não iniciado;;;;;;;;;;;;;;;;;;
Contratações Sustentáveis;Objetivo 18 – Promover a contratação de serviços mais sustentáveis;Meta 21 – Garantir que 100% dos Termos de Referência incluam critérios de sustentabilidade, quando aplicável; 124 ;Ação 124 - Incluir  no curso de planejamento de contratações orientações básicas (sites/manuais)  que indiquem caminhos para que o requerente possa, de forma autônoma, identificar possíveis impactos ambientais do serviço e buscar alternativas que contribuam para sua mitigação.;DPC;2025;Não iniciado;;;;;;;;;;;;;;;;;;
Contratações Sustentáveis;Objetivo 18 – Promover a contratação de serviços mais sustentáveis;Meta 21 – Garantir que 100% dos Termos de Referência incluam critérios de sustentabilidade, quando aplicável; 125 ;Ação 125 - Estabelecer fluxo para que o setor técnico competente avalie a adequação dos critérios de sustentabilidade inseridos pelo requerente e, quando necessário, sugira ajustes ou complementações.;DPC;2025;Não iniciado;;;;;;;;;;;;;;;;;;
Contratações Sustentáveis;Objetivo 18 – Promover a contratação de serviços mais sustentáveis;Meta 21 – Garantir que 100% dos Termos de Referência incluam critérios de sustentabilidade, quando aplicável; 126 ;Ação 126 - Incluir no checklist de contratação de serviços um item obrigatório que exija a inserção de critérios de sustentabilidade pelo requerente.;DPC;2025;Não iniciado;;;;;;;;;;;;;;;;;;
Contratações Sustentáveis;Objetivo 18 – Promover a contratação de serviços mais sustentáveis;Meta 21 – Garantir que 100% dos Termos de Referência incluam critérios de sustentabilidade, quando aplicável; 127 ;Ação 127 - Promover anualmente,  ações para orientar os requerentes sobre a inclusão de critérios ambientais nas contratações, incentivando boas práticas e a adoção de soluções mais sustentáveis;CGA;2029;Não iniciado;;;;;;;;;;;;;;;;;;
Contratações Sustentáveis;Objetivo 18 – Promover a contratação de serviços mais sustentáveis;Meta 21 – Garantir que 100% dos Termos de Referência incluam critérios de sustentabilidade, quando aplicável; 128 ;Ação 128 - Elaborar, anualmente, relatório sobre as contratações de serviços que incorporaram critérios de sustentabilidade ambiental, especificando as categorias abrangidas.;CGA;2029;Não iniciado;;;;;;;;;;;;;;;;;;
Contratações Sustentáveis;Objetivo 18 – Promover a contratação de serviços mais sustentáveis;Meta 21 – Garantir que 100% dos Termos de Referência incluam critérios de sustentabilidade, quando aplicável; 129 ;Ação 129 - Incluir na capacitação dos fiscais de contratos e no kit de fiscalização um conteúdo introdutório sobre a importância do monitoramento dos critérios de sustentabilidade nos contratos.;DPC;2026;Não iniciado;;;;;;;;;;;;;;;;;;
Contratações Sustentáveis;Objetivo 18 – Promover a contratação de serviços mais sustentáveis;Meta 21 – Garantir que 100% dos Termos de Referência incluam critérios de sustentabilidade, quando aplicável; 130 ;Ação 130 - Elaborar curso específico sobre sustentabilidade nas contratações públicas, abordando a inclusão e o monitoramento de critérios de sustentabilidade.;CGA;2029;Em andamento;;;;;;;;;;;;;;;;;;
Contratações Sustentáveis;Objetivo 19 – Promover a integração de critérios de sustentabilidade nas Concessões;Meta 22 – Garantir que 100% dos Termos de Referência incluam critérios de sustentabilidade, quando aplicável; 131 ;Ação 131 - Reforçar e criar novos mecanismos de controle social das concessões, com foco em critérios de sustentabilidade.;PROAD;2028;Não iniciado;;;;;;;;;;;;;;;;;;
Contratações Sustentáveis;Objetivo 19 – Promover a integração de critérios de sustentabilidade nas Concessões;Meta 22 – Garantir que 100% dos Termos de Referência incluam critérios de sustentabilidade, quando aplicável; 132 ;Ação 132 - Atualizar o Termo de Referência padrão para as lanchonetes, incluindo critérios de sustentabilidade.;DPC;2026;Não iniciado;;;;;;;;;;;;;;;;;;
Contratações Sustentáveis;Objetivo 19 – Promover a integração de critérios de sustentabilidade nas Concessões;Meta 22 – Garantir que 100% dos Termos de Referência incluam critérios de sustentabilidade, quando aplicável; 133 ;Ação 133 -Atualizar o Termo de Referência padrão para os restaurantes terceirizados, incluindo critérios de sustentabilidade.;DPC;2026;Não iniciado;;;;;;;;;;;;;;;;;;
Contratações Sustentáveis;Objetivo 19 – Promover a integração de critérios de sustentabilidade nas Concessões;Meta 22 – Garantir que 100% dos Termos de Referência incluam critérios de sustentabilidade, quando aplicável; 134 ;Ação 134 -Atualizar o Termo de Referência padrão para demais concessões, incluindo critérios de sustentabilidade.;DPC;2027;Não iniciado;;;;;;;;;;;;;;;;;;
Contratações Sustentáveis;Objetivo 19 – Promover a integração de critérios de sustentabilidade nas Concessões;Meta 22 – Garantir que 100% dos Termos de Referência incluam critérios de sustentabilidade, quando aplicável; 135 ;Ação 135 -Criar um checklist e um manual para auxiliar as concessões na inclusão de critérios de sustentabilidade obrigatórios e opcionais.;DPC;2028;Não iniciado;;;;;;;;;;;;;;;;;;
Contratações Sustentáveis;Objetivo 19 – Promover a integração de critérios de sustentabilidade nas Concessões;Meta 22 – Garantir que 100% dos Termos de Referência incluam critérios de sustentabilidade, quando aplicável; 136 ;"Ação 136 - Criar o selo ""Lanchonete Sustentável"".";CGA;2028;Em andamento;;;;;;;;;;;;;;;;;;
Contratações Sustentáveis;Objetivo 19 – Promover a integração de critérios de sustentabilidade nas Concessões;Meta 22 – Garantir que 100% dos Termos de Referência incluam critérios de sustentabilidade, quando aplicável; 137 ;Ação 137 - Realizar reuniões educativas com as equipes das concessões para promover e incentivar a adoção de boas práticas de sustentabilidade.;CGA;2029;Não iniciado;;;;;;;;;;;;;;;;;;
Inovação;Objetivo 20 – Realizar contratações públicas mais inovadoras;Meta 23 – Realizar 100% das ações da meta; 138 ;Ação 138- Estudar de que forma a temática da inovação pode ser incorporada nas capacitações sobre contratação de serviços e aquisição de materiais.;DPC;2027;Não iniciado;;;;;;;;;;;;;;;;;;
Inovação;Objetivo 20 – Realizar contratações públicas mais inovadoras;Meta 23 – Realizar 100% das ações da meta; 139 ;Ação 139 - Ampliar a realização de contratações compartilhadas com outras instituições para a aquisição de itens e serviços comuns.;PROAD;2029;Não iniciado;;;;;;;;;;;;;;;;;;
Inovação;Objetivo 20 – Realizar contratações públicas mais inovadoras;Meta 23 – Realizar 100% das ações da meta; 140 ;Ação 140 - Aderir ao almoxarifado virtual. ;DGP;2028;Não iniciado;;;;;;;;;;;;;;;;;;
Inovação;Objetivo 20 – Realizar contratações públicas mais inovadoras;Meta 23 – Realizar 100% das ações da meta; 141 ;Ação 141 - Estudar a viabilidade de adotar a modalidade Contratação Pública de Soluções Inovadoras (CPSI)  nas aquisições da UFSC, identificando serviços com potencial de inovação a partir de boas práticas de outras instituições.;PROAD;2028;Não iniciado;;;;;;;;;;;;;;;;;;
Inovação;Objetivo 21 – Estimular a academia a desenvolver soluções tecnológicas e inovações;Meta 24 – Realizar 100% das ações da meta; 142 ;Ação 142 - Criar edital para estudantes e professores com foco na solução de questões estratégicas da gestão da UFSC, incentivando a participação deles em propostas inovadoras para resolver problemas institucionais.;PROAD;2027;Não iniciado;;;;;;;;;;;;;;;;;;
Inovação;Objetivo 21 – Estimular a academia a desenvolver soluções tecnológicas e inovações;Meta 24 – Realizar 100% das ações da meta; 143 ;Ação 143 - Divulgar, anualmente, eventos e editais externos relacionados a Inovação, como FINEP, Innovation Day, Innovation Week, FECTI, editais, ofícios e outros.;SINOVA;2026;Em andamento;A SINOVA ainda fomenta a participação em eventos de relevância nacional como Startup Summit, Summit Cidades e STUN Festival. Em 2026, novos eventos estão sendo realizados com a participação da UFSC como CONECTA IA, ExpoDefense. A SINOVA vem realizando desde 2025 o Summit NITs - um evento que fomenta a conexão e o aprimoramento dos NITs. Além disso, as notícias relevantes em inovação, incluindo os itens do indicador, são divulgadas via Instagram, Facebook, LinkedIn e site SINOVA, sendo que os resultados evidenciam a ampliação do alcance, do engajamento e da visibilidade institucional, fortalecendo a comunicação digital e a aproximação com diferentes públicos.;Falta de servidores para que os atendimento possam ser ampliados;;;;;;;;;;;;;;;;
Inovação;Objetivo 21 – Estimular a academia a desenvolver soluções tecnológicas e inovações;Meta 24 – Realizar 100% das ações da meta; 144 ;Ação 144 -Realizar, anualmente, programa de mentoria para startups.;SINOVA;2029;Em andamento;"O projeto Conecta realiza mentorias para apoiar a formação profissional integral de discentes UFSC e já atendeu em 2026 45 pessoas. A SINOVA também possui 164 mentores na rede SINOVA UFSC. Além disso, desenvolve um programa que opera em eixos integrados: o Eixo I (Aceleração de Laboratórios), focado na estruturação da governança interna e portfólio de serviços dos ambientes de pesquisa; e o Eixo II (Criação e Desenvolvimento de Spin-offs), direcionado ao suporte de novos negócios originados da ciência. A iniciativa atende 10 laboratórios e envolve mais de 70 pesquisadores em modelagem de negócios, validação de mercado e transferência tecnológica";Falta de servidores para realizar os trâmites exigiu das equipe muitas horas de trabalho impactando em outras atividades do setor.;;;;;;;;;;;;;;;;
Inovação;Objetivo 21 – Estimular a academia a desenvolver soluções tecnológicas e inovações;Meta 24 – Realizar 100% das ações da meta; 145 ;"Ação 145 -Criar ""Prêmio de inovação UFSC - Academia"" para reconhecer e incentivar as contribuições criativas e inovadoras dos estudantes e docentes.";SINOVA;2028;Em andamento;"Em 2025 foram realizados 2 prêmios: Prêmio Empreendedor DNA-UFSC 2025 em que objetivou a identificação e o reconhecimento das iniciativas de pessoas, instituições e empresas que têm ou tiveram vínculo com a UFSC que se destacaram pelo seu protagonismo empreendedor (com 51 inscritos); e o Prêmio Inova UFSC – 2025 que buscou a identificação e o reconhecimento de soluções inovadoras, com resultados mensuráveis, que foram criadas e/ou têm sido realizadas no âmbito da UFSC (50 inscritos).";Falta de servidores para realizar os trâmites exigiu das equipe muitas horas de trabalho impactando em outras atividades do setor.;;;;;;;;;;;;;;;;
Inovação;Objetivo 21 – Estimular a academia a desenvolver soluções tecnológicas e inovações;Meta 24 – Realizar 100% das ações da meta; 146 ;Ação 146 -Promover, no mínimo a cada dois anos, seminários, oficinas e cursos de capacitação para a comunidade universitária com foco na temática da inovação acadêmica.;SINOVA;2029;Em andamento;"Em 2025 foram realizadas pela SINOVA: 13 palestras 
com 283 participantes; 02 cursos interno; e 03 cursos para docentes com 118 inscritos.
Os programas parceiros e apoiados pela SINOVA também realizaram tais atividades: Academy UFSC 21 palestras realizadas; 04 podcasts realizados; 2.497 inscrições nos eventos; 2.741 visualizações no YouTube; 1.383 inscritos no YouTube; 260 mil contas alcançadas no Instagram; Linc Social - 09 rotas de inovação realizadas em 08 espaços de inovação social; 378  inscrições nas rotas de inovação; 06 eventos participados/realizados; 01 Vitrine de Inovação Social criada; 01 minuta do Programa de Inovação Social da UFSC elaborada; 01 parceria com o SEBRAE/SC formalizada; 102 publicações no Instagram; 125 compartilhamentos no Instagram; 914 curtidas  no Instagram; 29.494 contas alcançadas no Instagram; Rede Curie 01 encontro presencial da rede realizado; 01 programa de ações presenciais e extensionistas realizado, envolvendo UFSC, escolas e parceiros institucionais; 10.130 mulheres, meninas e estudantes impactadas; 19.943 visualizações em conteúdos publicados no Instagram; 1.928 contas alcançadas nas redes sociais; + 490 interações no Instagram; 75 divulgações de editais e oportunidades realizadas; 50 materiais didáticos elaborados para apoio às ações formativas; 125 formulários estruturados (inscrição e pareamento de mentorias).";;;;;;;;;;;;;;;;;
Inovação;Objetivo 21 – Estimular a academia a desenvolver soluções tecnológicas e inovações;Meta 24 – Realizar 100% das ações da meta; 147 ;Ação 147 - Incentivar a realização de cursos de extensão focados em planos de negócios, inovação e empreendedorismo. ;PROEX;2027;;;;;;;;;;;;;;;;;;;
Inovação;Objetivo 22 – Estimular a inovação na gestão da UFSC;Meta 25 – Realizar 100% das ações da meta; 148 ;"Ação 148 - Criar o ""Prêmio Inovação UFSC - Gestão"", para reconhecer e incentivar práticas inovadoras na gestão institucional.";PROAD;2027;Não iniciado;;"Não foram identificadas dificuldades. 
Sem sugestões.";;;;;;;;;;;;;;;;
Inovação;Objetivo 22 – Estimular a inovação na gestão da UFSC;Meta 25 – Realizar 100% das ações da meta; 149 ;Ação 149 - Realizar capacitações para estimular a criatividade, inovação e empreendedorismo na gestão universitária.;CCP;2026;Concluído;"Ações:
1) INOVAÇÃO NO SETOR PÚBLICO (15 servidores concluintes). 

Ações da Escola de Gestores:
1) [ESCOLA DE GESTORES] CICLO DE DEBATES: PERSPECTIVAS INICIAIS ACERCA DOS ASSÉDIOS NAS RELAÇÕES DE TRABALHO (22 servidores concluintes)
2) [ESCOLA DE GESTORES] CICLO DE PALESTRAS EM GESTÃO UNIVERSITÁRIA (52 servidorres concluintes)
3) EVENTO DE ABERTURA DO PROGRAMA ESCOLA DE GESTORES DA UFSC - 2025 (132 servidores concluintes).
";;;;;;;;;;;;;;;;;
Inovação;Objetivo 22 – Estimular a inovação na gestão da UFSC;Meta 25 – Realizar 100% das ações da meta; 150 ;"Ação 150 -Realizar ""Semana da Inovação na UFSC"", para promover práticas inovadoras na gestão universitáriae incentivar boas práticas de gestão.";SINOVA;2029;Em andamento;A ação vem sendo realizada no prêmio de inovação que oportuniza o compartilhamento de práticas na UFSC. ;https://sinova.sites.ufsc.br/rede-sinova/redes-da-ufsc/ambientes_makers/ e https://sinova.sites.ufsc.br/portal-conhecimento/publicacoes_sinova/;;;;;;;;;;;;;;;;
Inovação;Objetivo 22 – Estimular a inovação na gestão da UFSC;Meta 25 – Realizar 100% das ações da meta; 151 ;"Ação 151 -Realizar estudo para a implementação de espaços de inovação na UFSC, como coworking, Fab Labs, laboratórios de inovação, hubs tecnológicos e áreas colaborativas.""";SINOVA;2029;Em andamento;Foram mapeados os ambientes makers da UFSC e foi realizada chamada para conhecimento dos ambientes de robótica. A definição de novos espaços está em andamento., especialmente das áreas colaborativas que foi inclusive realizado pela comissão dentro do comitê de inovação da UFSC. Além disso, na SINOVA, foi implantado um laboratório de inovação que está em operação. ;;;;;;;;;;;;;;;;;
Negocio de impacto;Objetivo 23 – Promover a inclusão social nas contratações e desfazimentos;Meta 26 – Realizar 100% das ações da meta; 152 ;Ação 152 - Aplicar decretos e incluir nas contratações tópicos que promovam a inclusão social, ações afirmativas e a qualidade de vida dos trabalhadores terceirizados na UFSC, garantindo a reserva de cargos (para pessoas com deficiência, ex-detentos, reabilitados da Previdência Social, aprendizes, mulheres em situação de violência e grupos étnicos minoritários).;DPC;2027;Não iniciado;;;;;;;;;;;;;;;;;;
Negocio de impacto;Objetivo 23 – Promover a inclusão social nas contratações e desfazimentos;Meta 26 – Realizar 100% das ações da meta; 153 ;Ação 153 - Incluir sempre que possivel, critérios sociais, nas contratação de serviços.;PROAD;2029;Não iniciado;;;;;;;;;;;;;;;;;;
Negocio de impacto;Objetivo 23 – Promover a inclusão social nas contratações e desfazimentos;Meta 26 – Realizar 100% das ações da meta; 154 ;Ação 154 - Estudar a viabilidade de contratação de organizações de catadores para recolher resíduos recicláveis da UFSC;CGA;2029;Não iniciado;;;;;;;;;;;;;;;;;;
Negocio de impacto;Objetivo 23 – Promover a inclusão social nas contratações e desfazimentos;Meta 26 – Realizar 100% das ações da meta; 155 ;Ação 155 - Estudar a viabilidade de proibir a participação em licitações ou a execução de contratos por pessoas físicas ou jurídicas condenadas, nos últimos cinco anos, por exploração de trabalho infantil, trabalho escravo ou contratação irregular de adolescentes, conforme a legislação trabalhista.;PROAD;2027;Não iniciado;;;;;;;;;;;;;;;;;;
Negocio de impacto;Objetivo 23 – Promover a inclusão social nas contratações e desfazimentos;Meta 26 – Realizar 100% das ações da meta; 156 ;Ação 156 - Promover a contratação de serviços com mão de obra local e micro e pequenas empresas (MPEs), conforme a Lei Complementar nº 123/2006, para estimular o desenvolvimento e a geração de empregos e renda na comunidade e na região.;DPC;2027;Não iniciado;;;;;;;;;;;;;;;;;;
Negocio de impacto;Objetivo 23 – Promover a inclusão social nas contratações e desfazimentos;Meta 26 – Realizar 100% das ações da meta; 157 ;Ação 157 - Estudar a viabilidade de  doar bens inservíveis a projetos sociais e conduzir um teste piloto.;DGP;2028;Não iniciado;;;;;;;;;;;;;;;;;;
Divulgação;Objetivo 24 – Divulgar amplamente o PLS na UFSC;Meta 27 – Realizar 100% das ações da meta; 158 ;Ação 158 - Envolver o Reitor como figura máxima da instituição na divulgação e promoção das iniciativas sustentáveis da UFSC.;GR;2029;Não iniciado;;;;;;;;;;;;;;;;;;
Divulgação;Objetivo 24 – Divulgar amplamente o PLS na UFSC;Meta 27 – Realizar 100% das ações da meta; 159 ;Ação 159 - Apresentar o  PLS para a Reitoria, Cun , Direções de Centro e Comissões Setoriais.;CGA;2029;Não iniciado;;;;;;;;;;;;;;;;;;
Divulgação;Objetivo 24 – Divulgar amplamente o PLS na UFSC;Meta 27 – Realizar 100% das ações da meta; 160 ;Ação 160 - Realizar uma apresentação pública do PLS.;CGA;2025;Não iniciado;;;;;;;;;;;;;;;;;;
Divulgação;Objetivo 24 – Divulgar amplamente o PLS na UFSC;Meta 27 – Realizar 100% das ações da meta; 161 ;Ação 161 - Divulgar o PLS e as principais ações realizadas nas principais plataformas digitais da UFSC, incluindo Notícias UFSC, instagram e Solar.;CGA;2029;Não iniciado;;;;;;;;;;;;;;;;;;
Divulgação;Objetivo 24 – Divulgar amplamente o PLS na UFSC;Meta 27 – Realizar 100% das ações da meta; 162 ;Ação 162 - Apresentar, a cada 2 anos, o PLS e o UFSC Sustentável em reuniões do conselho de unidade, com o objetivo de repassar aos professores a relação das ações do PLS que podem ser realizadas por meio de projetos e disciplinas.;CGA;2029;Não iniciado;;;;;;;;;;;;;;;;;;
Divulgação;Objetivo 24 – Divulgar amplamente o PLS na UFSC;Meta 27 – Realizar 100% das ações da meta; 163 ;Ação 163 -Apresentar o PLS e o UFSC Sustentável em reunião com as unidades administrativas da UFSC, a cada nova Gestão Administrativa, com o objetivo de repassar as ações do PLS de cada setor. ;CGA;2029;Não iniciado;;Atividade não foi iniciada;;;;;;;;;;;;;;;;
Divulgação;Objetivo 24 – Divulgar amplamente o PLS na UFSC;Meta 27 – Realizar 100% das ações da meta; 164 ;Ação 164 - Encaminhar anualmente e-mail aos professores com a relação das ações do PLS que poderiam ser realizadas através de Projetos e nas disciplinas.;PROPESQ;2029;Não iniciado;Ação não foi iniciada, necessário planejar em conjunto com a CGA um material para a divulgação das ações do PLS a serem divulgadas. ;;;;;;;;;;;;;;;;;
Divulgação;Objetivo 24 – Divulgar amplamente o PLS na UFSC;Meta 27 – Realizar 100% das ações da meta; 165 ;Ação 165 - Encaminhar anualmente e-mail aos setores administrativos com a relação das ações do PLS que poderiam ser realizadas no setor.;CGA;2029;Não iniciado;;;;;;;;;;;;;;;;;;
Divulgação;Objetivo 24 – Divulgar amplamente o PLS na UFSC;Meta 27 – Realizar 100% das ações da meta; 166 ;Ação 166 - Disponibilizar, a cada 2 anos, o painel de acompanhamento do progresso das ações previstas no PLS (Site do PLS e observatório UFSC).;CGA;2029;Não iniciado;;;;;;;;;;;;;;;;;;
Divulgação;Objetivo 25 – Criar uma cultura de sustentabilidade na UFSC;Meta 28 – Assegurar a oferta de capacitação para ao menos 10% dos servidores da UFSC com conhecimentos sobre sustentabilidade; 167 ;Ação 167 - Realizar capacitação anual para os servidores através de cursos de capacitação em gestão ambiental e sustentabilidade.;CGA;2029;Não iniciado;;"Não foram identificadas dificuldades. 
Sem sugestões.";;;;;;;;;;;;;;;;
Divulgação;Objetivo 25 – Criar uma cultura de sustentabilidade na UFSC;Meta 28 – Assegurar a oferta de capacitação para ao menos 10% dos servidores da UFSC com conhecimentos sobre sustentabilidade; 168 ;Ação 168 - Inserir módulo de sustentabilidade nos cursos de Integração de Novos Servidores TAEs.;CCP;2029;Concluído;"Ações:
Tópico inserido no módulo II do curso de Iniciação ao Ambiente Institucional UFSC/2025 (98 servidores concluintes).
Tópico 4 - Educação Ambiental e Sustentabilidade
";;;;;;;;;;;;;;;;;
Divulgação;Objetivo 25 – Criar uma cultura de sustentabilidade na UFSC;Meta 28 – Assegurar a oferta de capacitação para ao menos 10% dos servidores da UFSC com conhecimentos sobre sustentabilidade; 169 ;Ação 169 - Inserir módulo de sustentabilidade no curso de iniciação para os docentes do PROFOR. ;PROGRAD;2029;;;;;;;;;;;;;;;;;;;
